    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
          39745           gamma          7.18567      0.000100606        0.0198806      -0.00228061        -0.210824         0.886687        -0.166441         0.431374
          41321           gamma          3.35457      0.000100184      -0.00522335       -0.0025554        0.0423127         0.661872        -0.719822        -0.209243
          43211         neutron          1.30873       0.00010328       -0.0137652        0.0209236         0.729677         0.994212          0.09642       -0.0473859
          43212         neutron          0.18098      0.000122092      -0.00744301       -0.0245978        -0.243787        -0.451569         -0.88257         0.130978
          44392           gamma          1.62448      0.000101054       -0.0070843       -0.0041194        -0.394365         0.987644        -0.080119        -0.134685
          45662         neutron         0.656685      0.000135071       -0.0143522        0.0213665         -0.43045        -0.788158        -0.582736        -0.198055
          50554           gamma          2.30157      0.000100272       -0.0125016     -0.000233905         0.921045        -0.267232        -0.690456        -0.672204
          51969         neutron           1.5389      0.000100349        0.0249743      -0.00144569          0.72235        -0.572682         -0.13313         0.808895
          52315         neutron           2.4945      0.000106433       -0.0219593        0.0123304       -0.0862174        -0.807228         0.240516         0.539013
          52774         neutron          2.24797      0.000109437       0.00511007        0.0247145        -0.158339        -0.674091        0.0837883         0.733881
          53462         neutron          1.29059      0.000109678      -0.00876643        0.0238683         0.204599        -0.590678        -0.076172        -0.803304
          54382         neutron          1.81293      0.000120509        0.0249551      -0.00531208        -0.591471         0.702244         0.675687        -0.224279
          55399         neutron         0.589231      0.000104704       -0.0249891      -0.00293117         0.766483         0.788536        -0.538171         0.297629
          55588         neutron         0.727385      0.000113981        0.0213856       -0.0136498        -0.848959        -0.762423         0.122193        -0.635437
          55756         neutron         0.106472       0.00011345       -0.0168485        0.0190952         0.618586        -0.456169        -0.109968        -0.883072
          56944         neutron         0.382506      0.000104667        0.0174934       -0.0179907        -0.197635         0.397908         0.848834        -0.348067
          58805         neutron          2.74971      0.000130847       -0.0257889       0.00125457        -0.816339        -0.634792         0.752747        -0.174387
          61535         neutron          2.48744      0.000116911        0.0247128       0.00518792         0.157282         0.172354         0.271017         0.947018
          61711           gamma          1.63864      0.000100679        0.0154803       -0.0194948          0.35043        -0.756917         0.187606         0.626003
          63861         neutron          1.27971       0.00012227       -0.0226068        0.0119913        -0.824725         0.230597         0.280695        -0.931684
          64296         neutron         0.445343      0.000100212      -0.00761538        0.0143522         0.963576       0.00488357         -0.98187        -0.189492
          65261         neutron         0.545453      0.000100321       0.00525894       -0.0110917        -0.207374         0.128312         0.531448         0.837317
          65261         neutron          0.71474      0.000100321       0.00525894       -0.0110917        -0.207374          0.75443        -0.513821         -0.40844
          65261         neutron         0.545888      0.000100321       0.00525894       -0.0110917        -0.207374         0.725091        -0.143212        -0.673598
          65327         neutron          1.30753      0.000111383       0.00304588        0.0251862         0.517067        -0.353771         0.560605         0.748711
          65417         neutron         0.704185      0.000106635       -0.0239755       0.00785445         0.392655         0.633438        -0.756941         0.160612
          66095         neutron          1.93395      0.000104021      -0.00685657        0.0241039        -0.263004        -0.767524        -0.542268        -0.341838
          66307         neutron          2.98063      0.000127212       -0.0254526       0.00179164        -0.487954         0.735087        -0.403641        -0.544721
