    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
          40444         neutron         0.740748      0.000100452       -0.0083767         0.018629        -0.735414        -0.455992        -0.674248        -0.580913
          40444         neutron          1.82367      0.000100452       -0.0083767         0.018629        -0.735414        -0.180014        -0.720414         0.669775
          40444         neutron         0.813619      0.000100452       -0.0083767         0.018629        -0.735414        -0.468984         0.723595        -0.506423
          40444         neutron          1.12061      0.000100452       -0.0083767         0.018629        -0.735414         0.786982         -0.61081        0.0870102
          40444           gamma         0.939056      0.000100452       -0.0083767         0.018629        -0.735414        -0.602778         0.695991        -0.390198
          41759         neutron          2.03172      0.000116058       -0.0238513       0.00801601        -0.936488         0.220974       -0.0812059        -0.971893
          42540         neutron         0.302821      0.000100809     -0.000393778       0.00758672         0.261754        -0.923793         -0.29282        -0.246703
          42834           gamma          1.22199      0.000103551       0.00736043       -0.0131276        -0.812839        -0.840834          0.53205        0.0996039
          43474         neutron          2.23547      0.000114329        0.0229088        0.0101421        -0.935581        -0.740085        -0.606162        -0.291277
          43832         neutron          1.73327       0.00012122       -0.0151589       -0.0205981         0.721331        -0.284524        -0.117573        -0.951432
          43902         neutron         0.323509       0.00010167        0.0206717       -0.0141511        -0.748366        -0.448408        -0.889285       -0.0900124
          44172         neutron          1.04086      0.000242788       -0.0193601       -0.0195429         -0.70548          0.44176         0.685915         0.578247
          44285         neutron         0.173311      0.000134587       -0.0235986       0.00918552        0.0490014         0.315137        0.0745326         0.946115
          44371         neutron          1.83563      0.000143957      -0.00334787        -0.025974        -0.310439        -0.393346        -0.860139        -0.324715
          45934         neutron          1.34713      0.000202091        0.0206967        0.0170869        0.0823774         0.608492      -0.00821773         0.793517
          47411         neutron          2.24932       1.3887e-08       0.00231579       -0.0257415        -0.101602         0.723631         0.417502         -0.54959
          47965           gamma          1.01703      0.000100599      -0.00239501       0.00614014         0.606834        -0.793981         0.517641         0.318813
          47965           gamma          1.06853      0.000100599      -0.00239501       0.00614014         0.606834         0.722488         0.599323        -0.344707
          48762         neutron         0.972296      0.000103115       -0.0209877      -0.00228264        -0.580223        -0.367986        -0.852192        -0.371961
          48762           gamma         0.247387      0.000103115       -0.0209877      -0.00228264        -0.580223        -0.114892        -0.369714         0.922015
          48762           gamma         0.582719      0.000103115       -0.0209877      -0.00228264        -0.580223        -0.586159         0.602259        -0.541943
          49578         neutron          1.82742      1.27726e-08        0.0155063        0.0206402         0.216395       0.00413303         0.899842        -0.436196
          49732         neutron           4.3381      0.000113654       0.00312408       -0.0250755        -0.677913         0.202783        -0.083348         -0.97567
          49916         neutron          3.29957      0.000131305       -0.0221622        0.0126416        -0.860922        -0.896376        -0.125734          0.42509
          49993         neutron        0.0136422      0.000106544         0.015975       -0.0154728         0.499317          0.76444        -0.614673        -0.194442
          50480         neutron          1.20881      0.000107537         0.018987       -0.0162686         -0.35395        -0.723106        -0.538066         0.433131
          51697         neutron         0.496979      0.000161758       -0.0246265        0.0094525        -0.789359         0.902852        -0.199533         0.380848
          51826         neutron          1.21497      0.000115455      -0.00626966       -0.0248818         0.434928         0.578148        -0.406769        -0.707308
          53835         neutron          0.54228      0.000109379        -0.012974        0.0217014         0.916144        -0.706436         0.633385         0.315866
          53936         neutron         0.519895      0.000117998       -0.0245341       0.00731262         -0.27993         0.340763         0.938101       -0.0620301
          55633         neutron        0.0105183      0.000100874       -0.0208645       -0.0116119        -0.307252        0.0837253        -0.590755        -0.802495
          55633         neutron         0.559028      0.000100874       -0.0208645       -0.0116119        -0.307252         0.658814         0.281932          0.69748
          55698         neutron          2.88035      0.000114981       -0.0149324       -0.0206172         0.906162         0.683025        -0.676328         0.275786
          56093         neutron         0.974607      0.000107972        0.0167188       -0.0188831         0.117251         0.480979        -0.864096        -0.148311
          57630         neutron          0.94543      0.000110309        -0.024806        0.0036407        -0.122481         0.364999     -0.000711367         0.931008
          57976         neutron          1.26605      0.000121977       -0.0253193      -0.00235629         0.922201        -0.569876         0.286271         0.770253
          58654         neutron          2.88388      0.000133559        0.0157414        0.0203491         0.970335        -0.195875         0.495954        -0.845969
          58782         neutron          0.83544      0.000105446      -0.00425325       -0.0120097         0.646843         -0.46844        -0.826618        -0.311877
          58782           gamma          1.15458      0.000105446      -0.00425325       -0.0120097         0.646843         0.709925         0.341546        -0.615917
          58782           gamma         0.385222      0.000105446      -0.00425325       -0.0120097         0.646843        -0.986006        -0.154554       -0.0624931
          58841         neutron          2.97571      0.000120451        0.0236008       0.00944036        -0.352097        -0.575487        -0.817802      -0.00387983
          58924         neutron          4.38278      0.000130408       -0.0194827       -0.0164083        -0.504157         -0.95609         0.292919      -0.00953375
          59329         neutron           2.5288      0.000126467      -0.00753636        0.0243132        -0.231019        -0.563673        0.0754266         0.822547
          59360           gamma          3.01751      0.000103964        0.0201591       0.00701246        -0.919459        0.0665215         0.885905        -0.459071
          59901         neutron          0.20716      0.000100452        0.0191093       0.00262814        -0.835088         0.385676         0.529148         0.755815
