    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
          57817           gamma         0.692867       0.00010035         -0.92201           1.4892        0.0203854        -0.228004          0.91832        -0.323577
          58441         neutron          1.32177      0.000100601         0.111182          1.77234       0.00880393         0.539268        -0.079323          0.83839
          58441           gamma         0.927111      0.000100601         0.111182          1.77234       0.00880393         0.734765       -0.0713723        -0.674557
          58915         neutron         0.203509      0.000100938         -2.13138          -2.0533        0.0421175          0.66407        -0.404658        -0.628699
          58915         neutron          1.29401      0.000100938         -2.13138          -2.0533        0.0421175         0.259483         0.252111         -0.93226
          60171         neutron          1.88961      0.000100113          -0.7419          1.88074        0.0349604         0.989562        0.0524189        -0.134235
          60213         neutron         0.154978       0.00010059         0.930945        -0.434635        0.0204899         0.178656         -0.22552         0.957717
          60213         neutron         0.191373       0.00010059         0.930945        -0.434635        0.0204899         0.600678         0.793137         0.100594
          64347           gamma         0.369977      0.000100995        -0.176903           0.4157       0.00646073       -0.0741289        -0.985638         0.151729
          64660         neutron         0.109755      0.000100375         -1.65431         0.127413        0.0405987        -0.737679        -0.640547         0.213376
          64769           gamma          1.99382      0.000100873          1.94233          1.42416       0.00152286         0.104376         0.769509         0.630049
          65740           gamma          2.59167      0.000100731        -0.515951         -1.67461        0.0180153        -0.713169        -0.420663        -0.560743
          66101         neutron        0.0198223      0.000101032          2.32096         0.428027        0.0395988         0.707879         0.441796        -0.551112
          67442         neutron       0.00349883           0.0001         -2.44328          2.43042        0.0404769        -0.518759        -0.619279         0.589391
          67442           gamma          3.70543           0.0001         -2.44328          2.43042        0.0404769        -0.566862         -0.64559         0.511743
          70016           gamma         0.784393       0.00010001         -2.21766          2.13808        0.0141945         0.941619        0.0985847        -0.321923
          70016           gamma          1.05135       0.00010001         -2.21766          2.13808        0.0141945         0.120452         0.960834         0.249578
          70730         neutron         0.151367      0.000100208          1.52501          1.13019         0.046175         0.440668         0.601494        -0.666345
          70774         neutron         0.489244      0.000100148         0.310252         -1.69954        0.0377765        -0.506937        -0.597949         0.620864
          70774           gamma          1.00159      0.000100148         0.310252         -1.69954        0.0377765        -0.150818        -0.188325        -0.970457
          71516           gamma          1.89034      0.000100996         -2.48577          -1.1727        0.0129114         0.366534         0.384245         0.847354
          79036         neutron          1.83956      0.000100206          1.78913         -1.64929        0.0140146       -0.0874509        0.0295511         -0.99573
          79036           gamma         0.979137      0.000100206          1.78913         -1.64929        0.0140146        0.0514882        -0.998257        -0.028832
          79036           gamma         0.916265      0.000100206          1.78913         -1.64929        0.0140146        -0.280691         0.959649       -0.0169265
          79431           gamma          3.56234      0.000100435       -0.0948125          1.12792        0.0087315        -0.681127          0.19114        -0.706776
          80115         neutron         0.498423      0.000100694         -1.72038        -0.922822     -0.000454295        -0.374474         0.806666         0.457231
          80115           gamma         0.495318      0.000100694         -1.72038        -0.922822     -0.000454295         0.445104         0.488304         0.750627
          81905           gamma          0.99744      0.000100021          -2.4526          1.13446        0.0493681         0.317123        -0.760992        -0.565971
          81905           gamma         0.318224      0.000100021          -2.4526          1.13446        0.0493681         0.081041         0.990904         0.107434
          81905           gamma          1.00976      0.000100021          -2.4526          1.13446        0.0493681        -0.445386         0.798558          0.40489
          82320         neutron         0.594224       0.00010045          1.33969          1.69929        0.0307704         0.466454         0.315961        -0.826189
          82320           gamma         0.324577       0.00010045          1.33969          1.69929        0.0307704        -0.369691         0.856765         0.359558
          84444         neutron         0.312048      0.000100447          1.93827       -0.0475386        0.0213215         0.184759         0.594651         0.782467
          85568           gamma          1.82561      0.000100014          1.97814        -0.871108        0.0241506         0.257383         0.336059          0.90599
          88000         neutron          1.70539       0.00010107         -0.65998         0.377715        0.0500041         0.103329         0.133022        -0.985712
          88000         neutron         0.631274       0.00010107         -0.65998         0.377715        0.0500041         0.642496         0.569386        -0.512833
          88000         neutron          2.08503       0.00010107         -0.65998         0.377715        0.0500041         0.135601         0.245024         0.959987
