    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
         236515         neutron          2.04778      0.000102506       -0.0245303      -0.00568501         0.354065        -0.452358          0.17692         0.874112
         240591         neutron         0.295958      0.000105239       -0.0200282        0.0161326        -0.312939         0.997122      -0.00751945       -0.0754462
         241998         neutron         0.378902      0.000100403       0.00269084       -0.0249702         0.259215        -0.675186        0.0456328         0.736234
         243583         neutron         0.469474      0.000101823       -0.0123582        0.0220957        -0.832374        -0.732414         0.171097        -0.659011
         244157         neutron          1.84795      0.000100093       -0.0249992      0.000545047         0.369995        -0.933136       -0.0433751        -0.356896
         245208         neutron         0.849173      0.000101101       -0.0116657        0.0223213        -0.144891         0.743842       -0.0552849        -0.666065
         248750         neutron          1.71416      0.000102813       -0.0218304        0.0129455          0.36311        -0.847295        -0.427214        -0.315562
         249771         neutron         0.733268      0.000103135       -0.0101046       -0.0233012         0.110675        -0.241905         0.969284        0.0443888
         253577         neutron          1.59565      0.000100208       -0.0233397       0.00904271        -0.485737        -0.957045         0.288811       -0.0255465
         264328         neutron         0.104239      0.000100193       -0.0249756       0.00138473         0.644386         0.469365         0.390073        -0.792174
         264726         neutron          1.05745      0.000106541        -0.020716       -0.0153729        -0.160062         0.116421        -0.118166         0.986145
         264834         neutron        0.0944218      0.000100334       -0.0169181        0.0184785        -0.349844        0.0137659         0.751766        -0.659286
         266023         neutron          1.48221      0.000103042      -0.00304341       -0.0248867         0.322946         0.535418        -0.684975        -0.494101
         274595         neutron         0.767518       0.00010182      -0.00360331       -0.0248652         0.254575        -0.434221         0.204487          0.87729
         280521         neutron          1.28109      0.000103498       0.00207719       -0.0251901         0.363596          0.11791        -0.980902          0.15469
         285811         neutron          1.30726      0.000101219        0.0103605        -0.022951         0.658127        -0.591887        -0.760496        -0.267048
         293752         neutron          1.39461      0.000100709       0.00304303       -0.0248567         0.512626         0.936694         0.104609         0.334157
         305991         neutron          0.30368      0.000105255       -0.0253274      -0.00489104        -0.110645         0.699599        -0.701324        -0.136773
         307452         neutron         0.949812      0.000105735       -0.0220032       -0.0130532       -0.0279481         0.700861        -0.668637        -0.248429
         314468         neutron         0.900302      0.000101639        0.0143513          0.02073        -0.360068        -0.926641        -0.178059         0.331105
         315140         neutron          1.68875      0.000100299          0.01665        0.0186586         0.275437         0.909472        -0.390828        -0.141821
         316160         neutron          0.84976      0.000102643       0.00121525       -0.0252497        0.0780715        -0.170765        -0.743655        -0.646387
         318849         neutron         0.503275      0.000102251      -0.00473527       -0.0246342         0.326844        -0.204173        -0.785134        -0.584703
         321974         neutron         0.527052      0.000101277       -0.0136892       -0.0211893        -0.401652         0.978684        0.0898866         0.184654
         325203         neutron         0.997184      0.000102918       0.00162143        -0.025408          0.56951        -0.346265        -0.144287         0.926974
         328125         neutron          1.49172      0.000101714        0.0215923       -0.0130277       -0.0286774        -0.244344         0.928406         0.279924
         329377         neutron         0.653063      0.000105391        0.0223476       -0.0120123        -0.723334       -0.0198243         0.123261        -0.992176
         332704         neutron         0.543135       0.00010059        0.0175996        0.0178339        -0.234668        -0.325486        -0.854314        -0.405224
         346478         neutron           1.3735      0.000101722        0.0169755       -0.0185969        -0.465102         0.134642        -0.142756        -0.980557
         348524         neutron          1.65936      0.000102259        -0.022479       -0.0114993          0.96995        -0.253673        -0.397436         -0.88187
         349072         neutron         0.885466        0.0001001         0.024405      -0.00554568       0.00916759         0.438203         0.898227        0.0341496
         357045         neutron          0.45048      0.000101921        -0.019584       -0.0160559        -0.958678        -0.344483         0.540843         0.767346
         364005         neutron         0.792062      0.000104687       -0.0078614        0.0241756         0.376436        -0.617715         0.125941         0.776252
         364585         neutron         0.928089      0.000104398        0.0231686        0.0097303       -0.0893409         0.837622         0.355521         0.414721
         364947         neutron          1.64374      0.000102079       -0.0235461       0.00862431        -0.640622         0.579181        -0.812802        0.0624599
         366446         neutron         0.543839      0.000105252        0.0224764        0.0123377         0.949683        -0.320345         0.927032         -0.19491
         366546         neutron         0.500644      0.000100594      -0.00325674       -0.0248464       -0.0147795        -0.760545         -0.17788        -0.624443
         371104         neutron          1.02076      0.000101801       -0.0229118        0.0104548         0.122083        -0.167584        -0.985842       0.00550816
         384620         neutron          1.03158      0.000104456         0.024977       -0.0054691         0.218404         0.198781        -0.970181         0.138689
         385081         neutron          1.35497       0.00010432        0.0182465        0.0181145        -0.594392         0.328793          0.80756         0.489634
         393263         neutron         0.768335      0.000100764       -0.0240116      -0.00719952         0.918046         0.460586        -0.335125        -0.821919
         405265         neutron         0.854243       0.00010188        0.0228163        0.0104888       -0.0423923         0.890934       0.00326404          0.45412
         414472         neutron         0.659239      0.000101576       -0.0112988        0.0224722         0.746709        -0.989565        0.0223375        -0.142342
         428271         neutron         0.370662       0.00010271       -0.0220094       -0.0132324         0.616684         0.843155        -0.514111         0.157414
         430340         neutron          0.84929       0.00010307      0.000871866        0.0254441         0.599743         0.630824        0.0706667         0.772702
         433690         neutron         0.924518      0.000102166        -0.025127       0.00152132         0.416614        -0.226427        -0.211089          0.95088
         437258         neutron         0.205167      0.000103298      -0.00306968        0.0252463        -0.889191         0.815328        -0.466006         0.343625
         444995         neutron         0.981049      0.000100459        -0.021273        0.0133503        -0.210946         0.451984        -0.496137        -0.741322
         447745         neutron          1.34266      0.000100129        0.0111372        0.0224072         0.181481         0.488836          0.54806        -0.678727
         449027         neutron          1.26829       0.00010246       -0.0138921       -0.0209428        0.0125353       -0.0632449        -0.811175         0.581373
         449433         neutron         0.259777      0.000102679         0.023604       0.00994913         0.390368         0.249658        -0.699065         0.670059
         452974         neutron          1.18496      0.000103073        0.0222857        0.0118143        -0.146849         0.829932         0.390646        -0.398256
         460849         neutron          2.03114      0.000100498       0.00365055       -0.0247626        -0.838159        -0.103861        -0.677075        -0.728548
         460959         neutron         0.816249      0.000101742       0.00569526        0.0246077        -0.382935        -0.945802        0.0575114         0.319612
         463644         neutron          1.22077      0.000103995       -0.0177502        0.0180989         0.669438          0.58817         0.797973        -0.131511
         471553         neutron          1.37357      0.000101828     -0.000382473       -0.0250887         0.798185         0.313714         0.423884         -0.84965
         477665         neutron         0.791798      0.000105202        0.0104826        0.0228962        -0.330117        -0.925627         0.378437      0.000613351
         478344         neutron          1.10274      0.000104995      -0.00145044        0.0255969        -0.386328        -0.133974         0.837784         0.529311
         479103         neutron         0.226564      0.000100424       -0.0188304       -0.0165486         0.844544        -0.153287        -0.648627        -0.745511
         487390         neutron         0.290663      0.000100522        -0.025009        0.0022197        -0.146994        0.0192995        0.0349329        -0.999203
         487689         neutron         0.993128      0.000102915        0.0253792      -0.00219074        -0.587249         0.169935        -0.724035        -0.668503
         493588         neutron         0.676259      0.000102191        0.0225824        0.0113105         0.527688        -0.538639         0.738521          0.40553
         493862         neutron         0.770321      0.000104692        0.0250571      -0.00543395         0.249283         0.925342         0.212051         0.314286
         494241         neutron          1.26394      0.000104817       -0.0251991       -0.0036549         0.741172        -0.362479        -0.925615        -0.108842
         494528         neutron         0.653583      0.000101335       -0.0129743       -0.0214698         0.672538        -0.189083        -0.754524        -0.628444
         494586         neutron          1.24166      0.000102644       0.00883249       -0.0236971        -0.205145         0.598989         0.349026         0.720689
         495789         neutron         0.488682       0.00010074      -0.00275923        -0.024936        -0.525428        0.0530903        -0.564185         -0.82394
         499243         neutron         0.784478      0.000104789       -0.0222916       -0.0114874        -0.509189        -0.774028        -0.199512        -0.600896
         499549         neutron          1.52264      0.000100068       0.00169536         0.024949        -0.410483         0.859099         0.461484        -0.221318
