    EventNumber         parName  parEnergy (MeV)        parWeight       pos_x (cm)       pos_y (cm)       pos_z (cm)               ux               uy               uz
           1513         neutron        0.0571433       0.00102803         -0.68295          1.16643          0.50164        0.0327926          0.84061         0.540648
           1518         neutron          3.32067       0.00100091          0.75259        -0.163659         0.500054         0.583458        -0.556713          0.59131
           1553         neutron         0.474911       0.00100218        0.0815672        -0.843508         0.500129        -0.598223        -0.344521        -0.723488
           1632         neutron          2.46745       0.00103694        -0.977039          1.19411         0.502285         0.757218          0.43028         0.491405
           1643         neutron          2.66309       0.00103393        -0.419525        -0.318774          0.50198        -0.138836         0.660571         0.737815
           1664         neutron          6.67418       0.00100786        -0.615261          1.32639         0.500465        -0.317455         0.172961         0.932366
           1731         neutron         0.828914       0.00100465         -1.21271        -0.237649         0.500275         0.122347        -0.474388         0.871772
           1840         neutron          2.84487       0.00101621         -1.18343         0.318921         0.500954        -0.793196        -0.495034         0.354657
           1861         neutron          2.38911       0.00100496          1.56539          1.11169         0.500293        -0.545854        -0.558852        -0.624282
           1899         neutron          2.21247       0.00101087          0.50994        -0.915805         0.500641        -0.437156         0.899179        0.0192996
           1954         neutron         0.636425       0.00102405        -0.241061        -0.871578          0.50141         0.259614        -0.962772        0.0753058
           1958         neutron         0.469497       0.00103482        0.0724516         -0.45265         0.502059         0.793147        -0.531128         0.298028
           2023         neutron         0.648568       0.00105043       -0.0227772         -0.38522         0.503738         0.309966          0.37268          0.87466
           2061         neutron          3.41184       0.00100114         0.677678         0.858568         0.500068        -0.194958         0.975293         0.103902
           2075         neutron         0.993923       0.00102305        -0.730733         0.308333         0.501353       -0.0955608         0.992521        0.0759662
           2128         neutron         0.834423       0.00104535        -0.380476         0.853703         0.503193        -0.418556       -0.0338302         0.907561
           2169         neutron         0.684637       0.00101039         0.675184        -0.143431         0.500613         -0.42535        -0.861541         0.277173
           2172         neutron          3.91234       0.00102091        -0.350385         -0.58442         0.501228         -0.58464         0.563881        -0.583296
           2185         neutron         0.898568       0.00102081        -0.618542        -0.246027         0.501222         0.995212       -0.0977156       0.00217411
           2248         neutron           3.6514       0.00102744        -0.285539        -0.580937         0.501606        -0.912987        0.0531074         0.404517
           2249         neutron         0.407671       0.00101294         -1.40474         0.263984         0.500763        -0.701687         0.110511         0.703863
           2285         neutron         0.550289         0.001003         0.417609        -0.759657         0.500178         0.293802       -0.0894655          0.95167
           2323         neutron          2.08808        0.0010299      -0.00255676        -0.714845         0.501748         0.323792        -0.536765         0.779129
           2396         neutron          3.29307        0.0010097        -0.394693        -0.839082         0.500573         0.458693        -0.816532         0.350538
           2398         neutron          4.72763       0.00100934        -0.263397        -0.621562         0.500552        -0.504326         0.520535         0.688984
           2434         neutron          1.97318       0.00104764         0.979738         0.793701         0.503443        -0.632912        -0.466134        -0.618176
           2453         neutron          4.46541       0.00102378        -0.412208         -1.22624         0.501395        -0.680469         0.711527         0.175192
           2495         neutron         0.612678       0.00102611          1.82891        -0.155658          0.50153          0.25587         0.894088         -0.36761
           2498         neutron             2.92       0.00101132        -0.749609          1.48576         0.500668        -0.108411        -0.456639        -0.883022
           2514         neutron          4.90896        0.0010208        -0.295025         0.652149         0.501222         0.565146        -0.216776         0.796002
           2538         neutron         0.451376       0.00100224        -0.517126          1.08091         0.500133         0.863895        -0.136044        -0.484951
           2558         neutron         0.991897       0.00102925         0.856124        -0.527282         0.501711         0.441851        -0.617496         0.650743
           2595         neutron          1.35892       0.00102047       -0.0970323          -0.3046         0.501203         0.212618         0.972878       -0.0911213
           2616         neutron         0.554219       0.00102394         -0.75798        -0.300375         0.501404         0.445488       -0.0329084         0.894683
           2633         neutron          2.17301       0.00104645         0.158472         0.104652         0.503317        -0.163014        -0.660826         0.732622
           2677         neutron          2.81563       0.00102979        -0.462392        -0.983355         0.501742        -0.742079        -0.458125         0.489326
           2678         neutron          1.29493       0.00103775         0.904311        -0.423794         0.502368        -0.578236         -0.69771          -0.4229
           2706         neutron         0.876259      1.04504e-06         0.370216         0.258473          0.50348        -0.359196        -0.800778        -0.479304
           2732         neutron          2.29667       0.00101165         -0.37085         0.204409         0.500687         0.480327         0.538666         0.692188
           2789         neutron         0.387201       0.00101561         0.677604        -0.493408         0.500919        -0.405985        -0.333631        -0.850804
           2831         neutron           1.9707       0.00103993        -0.179359         0.101326         0.502613        -0.372664        -0.567412        -0.734278
           2922         neutron           1.9508       0.00101136         0.291817         0.447374         0.500671        -0.580896        -0.365279         0.727414
           2935         neutron           2.8357       0.00101344         -0.18162         0.429346         0.500793         0.219601        -0.452717         0.864189
           2946         neutron          2.02955       0.00100233         0.222285         0.478541         0.500138        -0.768827         0.543336         0.337182
           2949         neutron          3.86307        0.0010129        -0.148916       -0.0831445         0.500761        -0.630064        -0.721539         0.287057
           2988         neutron          3.89014       0.00102277           -1.101         0.587215         0.501336        -0.560328        0.0847877         0.823919
           3041         neutron          2.37838       0.00100047        -0.352538          0.27202         0.500028        -0.455091        -0.290098         0.841864
           3063         neutron          1.78237       0.00103394        -0.370052        -0.635808          0.50198        -0.934942        0.0187042         0.354308
           3107         neutron          2.02949       0.00100377        -0.670943         0.664106         0.500223         0.999384        0.0156681        0.0313927
           3120         neutron         0.966369       0.00102263        -0.418347         0.729358         0.501328         -0.81595         0.564549         -0.12454
           3147         neutron          6.14187       0.00100136        -0.743013         0.311046         0.500081        -0.616491        -0.779698          0.10959
           3204         neutron         0.846805       0.00104476         0.250138        -0.299959         0.503124         0.512189         0.833438        -0.207467
           3244         neutron          1.57436       0.00101116        -0.055989        -0.539043         0.500659         0.124073         0.319403         0.939461
           3293         neutron           1.0157       0.00101538         -1.48573          1.10738         0.500906        -0.541818        -0.175462        -0.821977
           3328         neutron         0.768981       0.00102331         0.187514         -1.13909         0.501368         0.440713         0.871267         0.216022
           3347         neutron         0.577378       0.00100494       -0.0715791        -0.279869         0.500293         -0.13437        -0.936013         0.325308
           3372         neutron          3.03777       0.00100123         0.373428        -0.108538         0.500073        -0.787794        -0.549723        -0.277822
           3386         neutron         0.686514       0.00103665         0.236236        -0.505865         0.502256         0.339498         0.287835         0.895484
           3414         neutron         0.478691       0.00101177        -0.432779        -0.893479         0.500695        -0.472329        -0.257252         0.843046
           3470         neutron         0.540955       0.00101067        -0.108036       0.00601639          0.50063         -0.60963        -0.635908        -0.473257
           3547         neutron          3.24647        0.0010035         0.370591        -0.751827         0.500207        -0.308377        -0.744275         0.592418
           3591         neutron         0.408488       0.00103038        -0.873082          0.13072         0.501776        -0.361476         -0.02201         0.932122
           3594         neutron          4.73138       0.00102557        -0.387564        -0.565471         0.501498       -0.0840249        -0.432464         0.897728
           3794         neutron          1.54503       0.00100765        -0.717068          1.13546         0.500452        -0.157908        -0.802633         0.575192
           3852         neutron          2.47835       0.00101917        -0.369099       -0.0627044         0.501127         0.224094         0.544639        -0.808177
           3860         neutron          2.07331       0.00100784         0.366792         0.558827         0.500464         0.205683        -0.244143         0.947675
           3966         neutron          2.99961       0.00100016         0.564715         0.435199         0.500009         -0.52674         0.163708        -0.834113
           3967         neutron          2.61658       0.00102804        -0.287498         0.787358         0.501641        -0.446124        -0.894926      -0.00897375
           3999         neutron          2.47844       0.00103939        -0.502645        -0.163657         0.502561        -0.458256        -0.281293         0.843135
           4150         neutron          3.00375       0.00100422        -0.495287       -0.0176737          0.50025       -0.0519087        -0.925996         0.373948
           4162         neutron          3.02911       0.00101955        0.0503978         0.105512         0.501149       -0.0534621         0.620072         0.782721
           4197         neutron         0.291522       0.00103512        -0.477488        -0.749156          0.50209         0.337988         0.937943       -0.0776302
           4262         neutron          2.81294       0.00101984         0.224306         0.532161         0.501166          -0.9767        -0.201659        0.0734211
           4271         neutron           1.2239       0.00102881         -0.59255        -0.237806         0.501686         0.122928          0.19808         0.972447
           4286         neutron          4.43005       0.00101472         0.185475         0.237597         0.500867        -0.368203        -0.604096         0.706749
           4352         neutron          3.14388       0.00101351       -0.0844901          0.17605         0.500797         0.932851         0.193441         0.303924
           4366         neutron         0.681242       0.00100588         0.260698         0.883703         0.500348        -0.137776         0.569315         0.810492
           4382         neutron         0.436008       0.00100012        -0.368954         -1.12465         0.500007       -0.0263568         0.718087         0.695454
           4399         neutron          0.40112        0.0010395        -0.609745        -0.187794         0.502567          0.21501          0.48941        -0.845133
           4432         neutron          2.61844       0.00102105         -0.97966         -1.28058         0.501236         0.690773        -0.441178        -0.572883
           4434         neutron          4.04178       0.00103706         -1.02842         -1.40497         0.502299          0.80658        -0.576693          0.12982
           4437         neutron          1.73036       0.00101121         0.759875         0.150383         0.500661         0.689787         -0.20234         0.695164
           4569         neutron          2.58895       0.00103089      -0.00050893        -0.359338         0.501805        -0.765744        -0.403729        -0.500638
           4573         neutron          1.29245       0.00103711          0.29362         0.427555         0.502304         -0.83443         -0.54749          -0.0631
           4598         neutron          0.44677       0.00100467         0.276133       -0.0671717         0.500277        -0.309247        -0.949722        0.0489391
           4629         neutron         0.393984       0.00101043        -0.832812         -0.98772         0.500616         0.480086        -0.381892         0.789732
           4640         neutron          2.54352       0.00100669         0.554902        0.0150494         0.500396         -0.14041         0.989653        0.0295297
           4723         neutron         0.788244       0.00104962         0.583577         0.742004         0.503644        -0.760387        -0.649268        0.0162029
           4775         neutron           0.8522       0.00101708        -0.174232        -0.453658         0.501005        -0.941097          0.31752         0.116269
           4811         neutron           1.7285       0.00102591          0.85367         0.575272         0.501518         0.161763        -0.960549         0.226224
           4824         neutron          1.15616       0.00103099         0.331324        -0.273568         0.501811        -0.434486        -0.717697         0.544182
           4840         neutron          3.08907       0.00100267        0.0558259         -1.27422         0.500158        -0.751325          0.29284         0.591401
           4919         neutron          2.41933       0.00103033      -0.00905345        -0.186196         0.501773         0.346721        -0.822069         -0.45165
           4947         neutron          0.54917       0.00103554         0.448651        -0.119205         0.502135         0.514583        -0.729915         0.449921
           4968         neutron          5.02021       0.00100184        -0.138988        -0.703753         0.500109        -0.232212        -0.335934         0.912812
           4989         neutron          3.50514       0.00103691          1.26748          1.12823         0.502283         0.291264        -0.583849        -0.757816
           5001         neutron          0.10606       0.00100583        -0.617763         0.421746         0.500345        -0.958012        -0.286226        0.0169492
           5068         neutron          3.78302       0.00100043          1.37495         0.334415         0.500025         -0.71511         0.601478          0.35615
           5110         neutron         0.748166        0.0010375         -1.67113         0.682918         0.502346        -0.835838         0.451933         0.311658
           5113         neutron          2.82269       0.00100589         0.651194          1.62823         0.500348         -0.15802         0.824721         0.543015
           5147         neutron         0.673721       0.00103248        -0.582282        -0.500882         0.501897        -0.905582        -0.316858         0.281996
           5177         neutron         0.739487       0.00101694      -0.00948121          -1.3422         0.500997        -0.954089         0.272098         0.125207
           5189         neutron         0.730182       0.00101139         0.622094       -0.0847318         0.500672         0.763909         0.612058         0.204517
           5206         neutron         0.737798       0.00104467         0.386553         0.414915         0.503099         -0.56011        -0.436017        -0.704391
           5252         neutron         0.833369       0.00102777        -0.237136        -0.735519         0.501626        -0.820662        -0.567846          0.06376
           5289         neutron          3.25343       0.00102387        -0.816616         0.941312           0.5014          0.64292         0.600621         0.475298
           5290         neutron          1.25468       0.00104134          -1.2519       -0.0247562         0.502773         0.563505        -0.792888        -0.231927
           5292         neutron          4.09731       0.00100569         -0.60748        0.0755766         0.500337       -0.0742781        -0.370452        -0.925877
           5347         neutron          2.42118       0.00101624       -0.0907913          1.31101         0.500956         0.831311         0.471952        -0.293569
